номер региона;субъект;y1;y2;y3;y4;y5;y;год;x1;
51;Пермский край ;458,00;7,30;1,50;-405,50;38,70;-139443,70;2016,00;5,38;
52;Кировская область ;466,50;7,40;1,50;-414,40;39,00;-142509,90;2016,00;5,38;
53;Hижегородская область ;475,00;7,50;1,50;-423,30;39,30;-145576,10;2016,00;5,38;
54;Oренбургская область ;483,50;7,60;1,50;-432,20;39,60;-148642,30;2016,00;5,38;
55;Пензенская область ;492,00;7,70;1,50;-441,10;39,90;-151708,50;2016,00;5,38;
56;Cамарская область ;500,50;7,80;1,50;-450,00;40,20;-154774,70;2016,00;5,38;
57;Cаратовская область ;509,00;7,90;1,50;-458,90;40,50;-157840,90;2016,00;5,38;
58;Ульяновская область ;517,50;8,00;1,50;-467,80;40,80;-160907,10;2016,00;5,38;
59;Kурганская область ;526,00;8,10;1,50;-476,70;41,10;-163973,30;2016,00;5,38;
60;Cвердловская область ;534,50;8,20;1,50;-485,60;41,40;-167039,50;2016,00;5,38;
61;Tюменская область ;543,00;8,30;1,50;-494,50;41,70;-170105,70;2016,00;5,38;
62;  Ханты-Мансийский авт.округ ;551,50;8,40;1,50;-503,40;42,00;-173171,90;2016,00;5,38;
63;  Ямало-Ненецкий авт. округ ;560,00;8,50;1,50;-512,30;42,30;-176238,10;2016,00;5,38;
64;Челябинская область ;568,50;8,60;1,50;-521,20;42,60;-179304,30;2016,00;5,38;
65;Республика Алтай ;577,00;8,70;1,50;-530,10;42,90;-182370,50;2016,00;5,38;
66;Республика Бурятия ;585,50;8,80;1,50;-539,00;43,20;-185436,70;2016,00;5,38;
67;Республика Тыва ;594,00;8,90;1,50;-547,90;43,50;-188502,90;2016,00;5,38;
68;Республика Хакасия ;602,50;9,00;1,50;-556,80;43,80;-191569,10;2016,00;5,38;
69;Aлтайский край ;611,00;9,10;1,50;-565,70;44,10;-194635,30;2016,00;5,38;
70;Забайкальский край ;619,50;9,20;1,50;-574,60;44,40;-197701,50;2016,00;5,38;
71;Kрасноярский край ;628,00;9,30;1,50;-583,50;44,70;-200767,70;2016,00;5,38;
72;Иркутская область ;636,50;9,40;1,50;-592,40;45,00;-203833,90;2016,00;5,38;
73;Kемеровская область ;645,00;9,50;1,50;-601,30;45,30;-206900,10;2016,00;5,38;
74;Hовосибирская область ;653,50;9,60;1,50;-610,20;45,60;-209966,30;2016,00;5,38;
75;Oмская область ;662,00;9,70;1,50;-619,10;45,90;-213032,50;2016,00;5,38;
76;Tомская область ;670,50;9,80;1,50;-628,00;46,20;-216098,70;2016,00;5,38;
77;Республика Саха(Якутия) ;679,00;9,90;1,50;-636,90;46,50;-219164,90;2016,00;5,38;
78;Камчатский край ;687,50;10,00;1,50;-645,80;46,80;-222231,10;2016,00;5,38;
79;Приморский край ;696,00;10,10;1,50;-654,70;47,10;-225297,30;2016,00;5,38;
80;Xабаровский край ;704,50;10,20;1,50;-663,60;47,40;-228363,50;2016,00;5,38;
81;Aмурская область ;713,00;10,30;1,50;-672,50;47,70;-231429,70;2016,00;5,38;
82;Mагаданская область ;721,50;10,40;1,50;-681,40;48,00;-234495,90;2016,00;5,38;
83;Cахалинская область ;730,00;10,50;1,50;-690,30;48,30;-237562,10;2016,00;5,38;
84;Еврейская авт. область ;738,50;10,60;1,50;-699,20;48,60;-240628,30;2016,00;5,38;
85;Чукотский авт. округ ;747,00;10,70;1,50;-708,10;48,90;-243694,50;2016,00;5,38;
86;Белгородская область ;755,50;10,80;1,50;-717,00;49,20;-246760,70;2016,00;5,38;
87;Брянская область ;764,00;10,90;1,50;-725,90;49,50;-249826,90;2016,00;5,38;
88;Bладимирская область ;772,50;11,00;1,50;-734,80;49,80;-252893,10;2016,00;5,38;
89;Bоронежская область ;781,00;11,10;1,50;-743,70;50,10;-255959,30;2016,00;5,38;
90;Ивановская область ;789,50;11,20;1,50;-752,60;50,40;-259025,50;2016,00;5,38;
91;Kалужская область ;798,00;11,30;1,50;-761,50;50,70;-262091,70;2016,00;5,38;
92;Kостромская область ;806,50;11,40;1,50;-770,40;51,00;-265157,90;2016,00;5,38;
93;Kурская область ;815,00;11,50;1,50;-779,30;51,30;-268224,10;2016,00;5,38;
94;Липецкая область ;823,50;11,60;1,50;-788,20;51,60;-271290,30;2016,00;5,38;
95;Mосковская область ;832,00;11,70;1,50;-797,10;51,90;-274356,50;2016,00;5,38;
96;Oрловская область ;840,50;11,80;1,50;-806,00;52,20;-277422,70;2016,00;5,38;
97;Pязанская область ;849,00;11,90;1,50;-814,90;52,50;-280488,90;2016,00;5,38;
98;Cмоленская область ;857,50;12,00;1,50;-823,80;52,80;-283555,10;2016,00;5,38;
99;Tамбовская область ;866,00;12,10;1,50;-832,70;53,10;-286621,30;2016,00;5,38;
100;Tверская область ;874,50;12,20;1,50;-841,60;53,40;-289687,50;2016,00;5,38;
101;Tульская область ;883,00;12,30;1,50;-850,50;53,70;-292753,70;2016,00;5,38;
102;Ярославская область ;891,50;12,40;1,50;-859,40;54,00;-295819,90;2016,00;5,38;
103;г.Москва ;900,00;12,50;1,50;-868,30;54,30;-298886,10;2016,00;5,38;
104;Республика Карелия ;908,50;12,60;1,50;-877,20;54,60;-301952,30;2016,00;5,38;
105;Республика Коми ;917,00;12,70;1,50;-886,10;54,90;-305018,50;2016,00;5,38;
106;Aрхангельская область ;925,50;12,80;1,50;-895,00;55,20;-308084,70;2016,00;5,38;
107;Ненецкий авт. округ ;934,00;12,90;1,50;-903,90;55,50;-311150,90;2016,00;5,38;
108;Bологодская область ;942,50;13,00;1,50;-912,80;55,80;-314217,10;2016,00;5,38;
109;Калининградская область ;951,00;13,10;1,50;-921,70;56,10;-317283,30;2016,00;5,38;
110;Ленинградская область ;959,50;13,20;1,50;-930,60;56,40;-320349,50;2016,00;5,38;
111;Mурманская область ;968,00;13,30;1,50;-939,50;56,70;-323415,70;2016,00;5,38;
112;Hовгородская область ;976,50;13,40;1,50;-948,40;57,00;-326481,90;2016,00;5,38;
113;Псковская область ;985,00;13,50;1,50;-957,30;57,30;-329548,10;2016,00;5,38;
114;г. Санкт-Петербург ;993,50;13,60;1,50;-966,20;57,60;-332614,30;2016,00;5,38;
115;Республика Адыгея ;1002,00;13,70;1,50;-975,10;57,90;-335680,50;2016,00;5,38;
116;Республика Калмыкия ;1010,50;13,80;1,50;-984,00;58,20;-338746,70;2016,00;5,38;
117;Республика Крым ;1019,00;13,90;1,50;-992,90;58,50;-341812,90;2016,00;5,38;
118;Kраснодарский край ;1027,50;14,00;1,50;-1001,80;58,80;-344879,10;2016,00;5,38;
119;Aстраханская область ;1036,00;14,10;1,50;-1010,70;59,10;-347945,30;2016,00;5,38;
120;Bолгоградская область ;1044,50;14,20;1,50;-1019,60;59,40;-351011,50;2016,00;5,38;
121;Pостовская область ;1053,00;14,30;1,50;-1028,50;59,70;-354077,70;2016,00;5,38;
122;г. Севастополь ;1061,50;14,40;1,50;-1037,40;60,00;-357143,90;2016,00;5,38;
123;Республика Дагестан ;1070,00;14,50;1,50;-1046,30;60,30;-360210,10;2016,00;5,38;
124;Республика Ингушетия ;1078,50;14,60;1,50;-1055,20;60,60;-363276,30;2016,00;5,38;
125;Кабардино-Балкарская республика ;1087,00;14,70;1,50;-1064,10;60,90;-366342,50;2016,00;5,38;
126;Карачаево-Черкесская Республика;1095,50;14,80;1,50;-1073,00;61,20;-369408,70;2016,00;5,38;
127;Республика Северная Осетия-Алания;1104,00;14,90;1,50;-1081,90;61,50;-372474,90;2016,00;5,38;
128;Чеченская Республика ;1112,50;15,00;1,50;-1090,80;61,80;-375541,10;2016,00;5,38;
129;Cтавропольский край ;1121,00;15,10;1,50;-1099,70;62,10;-378607,30;2016,00;5,38;
130;Республика Башкортостан ;1129,50;15,20;1,50;-1108,60;62,40;-381673,50;2016,00;5,38;
131;Республика Mарий Эл ;1138,00;15,30;1,50;-1117,50;62,70;-384739,70;2016,00;5,38;
132;Республика Мордовия ;1146,50;15,40;1,50;-1126,40;63,00;-387805,90;2016,00;5,38;
133;Республика Татарстан ;1155,00;15,50;1,50;-1135,30;63,30;-390872,10;2016,00;5,38;
134;Удмуртская Республика ;1163,50;15,60;1,50;-1144,20;63,60;-393938,30;2016,00;5,38;
135;Чувашская Республика ;1172,00;15,70;1,50;-1153,10;63,90;-397004,50;2016,00;5,38;
136;Пермский край ;1180,50;15,80;1,50;-1162,00;64,20;-400070,70;2016,00;5,38;
137;Кировская область ;1189,00;15,90;1,50;-1170,90;64,50;-403136,90;2016,00;5,38;
138;Hижегородская область ;1197,50;16,00;1,50;-1179,80;64,80;-406203,10;2016,00;5,38;
139;Oренбургская область ;1206,00;16,10;1,50;-1188,70;65,10;-409269,30;2016,00;5,38;
140;Пензенская область ;1214,50;16,20;1,50;-1197,60;65,40;-412335,50;2016,00;5,38;
141;Cамарская область ;1223,00;16,30;1,50;-1206,50;65,70;-415401,70;2016,00;5,38;
142;Cаратовская область ;1231,50;16,40;1,50;-1215,40;66,00;-418467,90;2016,00;5,38;
143;Ульяновская область ;1240,00;16,50;1,50;-1224,30;66,30;-421534,10;2016,00;5,38;
144;Kурганская область ;1248,50;16,60;1,50;-1233,20;66,60;-424600,30;2016,00;5,38;
145;Cвердловская область ;1257,00;16,70;1,50;-1242,10;66,90;-427666,50;2016,00;5,38;
146;Tюменская область ;1265,50;16,80;1,50;-1251,00;67,20;-430732,70;2016,00;5,38;
147;  Ханты-Мансийский авт.округ ;1274,00;16,90;1,50;-1259,90;67,50;-433798,90;2016,00;5,38;
148;  Ямало-Ненецкий авт. округ ;1282,50;17,00;1,50;-1268,80;67,80;-436865,10;2016,00;5,38;
149;Челябинская область ;1291,00;17,10;1,50;-1277,70;68,10;-439931,30;2016,00;5,38;
150;Республика Алтай ;1299,50;17,20;1,50;-1286,60;68,40;-442997,50;2016,00;5,38;
151;Республика Бурятия ;1308,00;17,30;1,50;-1295,50;68,70;-446063,70;2016,00;5,38;
152;Республика Тыва ;1316,50;17,40;1,50;-1304,40;69,00;-449129,90;2016,00;5,38;
153;Республика Хакасия ;1325,00;17,50;1,50;-1313,30;69,30;-452196,10;2016,00;5,38;
154;Aлтайский край ;1333,50;17,60;1,50;-1322,20;69,60;-455262,30;2016,00;5,38;
155;Забайкальский край ;1342,00;17,70;1,50;-1331,10;69,90;-458328,50;2016,00;5,38;
156;Kрасноярский край ;1350,50;17,80;1,50;-1340,00;70,20;-461394,70;2016,00;5,38;
157;Иркутская область ;1359,00;17,90;1,50;-1348,90;70,50;-464460,90;2016,00;5,38;
158;Kемеровская область ;1367,50;18,00;1,50;-1357,80;70,80;-467527,10;2016,00;5,38;
159;Hовосибирская область ;1376,00;18,10;1,50;-1366,70;71,10;-470593,30;2016,00;5,38;
160;Oмская область ;1384,50;18,20;1,50;-1375,60;71,40;-473659,50;2016,00;5,38;
161;Tомская область ;1393,00;18,30;1,50;-1384,50;71,70;-476725,70;2016,00;5,38;
162;Республика Саха(Якутия) ;1401,50;18,40;1,50;-1393,40;72,00;-479791,90;2016,00;5,38;
163;Камчатский край ;1410,00;18,50;1,50;-1402,30;72,30;-482858,10;2016,00;5,38;
164;Приморский край ;1418,50;18,60;1,50;-1411,20;72,60;-485924,30;2016,00;5,38;
165;Xабаровский край ;1427,00;18,70;1,50;-1420,10;72,90;-488990,50;2016,00;5,38;
166;Aмурская область ;1435,50;18,80;1,50;-1429,00;73,20;-492056,70;2016,00;5,38;
167;Mагаданская область ;1444,00;18,90;1,50;-1437,90;73,50;-495122,90;2016,00;5,38;
168;Cахалинская область ;1452,50;19,00;1,50;-1446,80;73,80;-498189,10;2016,00;5,38;
169;Еврейская авт. область ;1461,00;19,10;1,50;-1455,70;74,10;-501255,30;2016,00;5,38;
170;Чукотский авт. округ ;1469,50;19,20;1,50;-1464,60;74,40;-504321,50;2016,00;5,38;
171;Белгородская область ;1478,00;19,30;1,50;-1473,50;74,70;-507387,70;2016,00;5,38;
172;Брянская область ;1486,50;19,40;1,50;-1482,40;75,00;-510453,90;2016,00;5,38;
173;Bладимирская область ;1495,00;19,50;1,50;-1491,30;75,30;-513520,10;2016,00;5,38;
174;Bоронежская область ;1503,50;19,60;1,50;-1500,20;75,60;-516586,30;2016,00;5,38;
175;Ивановская область ;1512,00;19,70;1,50;-1509,10;75,90;-519652,50;2016,00;5,38;
176;Калужская область ;1520,50;19,80;1,50;-1518,00;76,20;-522718,70;2016,00;5,38;
177;Костромская область ;1529,00;19,90;1,50;-1526,90;76,50;-525784,90;2016,00;5,38;
178;Курская область ;1537,50;20,00;1,50;-1535,80;76,80;-528851,10;2016,00;5,38;
179;Липецкая область ;1546,00;20,10;1,50;-1544,70;77,10;-531917,30;2016,00;5,38;
180;Московская область ;1554,50;20,20;1,50;-1553,60;77,40;-534983,50;2016,00;5,38;
181;Орловская область ;1563,00;20,30;1,50;-1562,50;77,70;-538049,70;2016,00;5,38;
182;Рязанская область ;1571,50;20,40;1,50;-1571,40;78,00;-541115,90;2016,00;5,38;
183;Смоленская область ;1580,00;20,50;1,50;-1580,30;78,30;-544182,10;2016,00;5,38;
184;Тамбовская область ;1588,50;20,60;1,50;-1589,20;78,60;-547248,30;2016,00;5,38;
185;Тверская область ;1597,00;20,70;1,50;-1598,10;78,90;-550314,50;2016,00;5,38;
186;Тульская область ;1605,50;20,80;1,50;-1607,00;79,20;-553380,70;2016,00;5,38;
187;Ярославская область ;1614,00;20,90;1,50;-1615,90;79,50;-556446,90;2016,00;5,38;
188;г. Москва ;1622,50;21,00;1,50;-1624,80;79,80;-559513,10;2016,00;5,38;
189;Республика Карелия ;1631,00;21,10;1,50;-1633,70;80,10;-562579,30;2016,00;5,38;
190;Республика Коми ;1639,50;21,20;1,50;-1642,60;80,40;-565645,50;2016,00;5,38;
191;Архангельская область ;1648,00;21,30;1,50;-1651,50;80,70;-568711,70;2016,00;5,38;
192;Ненецский автономный округ;1656,50;21,40;1,50;-1660,40;81,00;-571777,90;2016,00;5,38;
193;Bологодская область ;1665,00;21,50;1,50;-1669,30;81,30;-574844,10;2016,00;5,38;
194;Калининградская область ;1673,50;21,60;1,50;-1678,20;81,60;-577910,30;2016,00;5,38;
195;Ленинградская область ;1682,00;21,70;1,50;-1687,10;81,90;-580976,50;2016,00;5,38;
196;Мурманская область ;1690,50;21,80;1,50;-1696,00;82,20;-584042,70;2016,00;5,38;
197;Новгородская область ;1699,00;21,90;1,50;-1704,90;82,50;-587108,90;2016,00;5,38;
198;Псковская область ;1707,50;22,00;1,50;-1713,80;82,80;-590175,10;2016,00;5,38;
199;г. Санкт-Петербург ;1716,00;22,10;1,50;-1722,70;83,10;-593241,30;2016,00;5,38;
200;Республика Адыгея ;1724,50;22,20;1,50;-1731,60;83,40;-596307,50;2016,00;5,38;
201;Республика Калмыкия ;1733,00;22,30;1,50;-1740,50;83,70;-599373,70;2016,00;5,38;
202;Республика Крым ;1741,50;22,40;1,50;-1749,40;84,00;-602439,90;2016,00;5,38;
203;Краснодарский край ;1750,00;22,50;1,50;-1758,30;84,30;-605506,10;2016,00;5,38;
204;Астраханская область ;1758,50;22,60;1,50;-1767,20;84,60;-608572,30;2016,00;5,38;
205;Bолгоградская область ;1767,00;22,70;1,50;-1776,10;84,90;-611638,50;2016,00;5,38;
206;Ростовская область ;1775,50;22,80;1,50;-1785,00;85,20;-614704,70;2016,00;5,38;
207;г. Севастополь ;1784,00;22,90;1,50;-1793,90;85,50;-617770,90;2016,00;5,38;
208;Республика Дагестан ;1792,50;23,00;1,50;-1802,80;85,80;-620837,10;2016,00;5,38;
209;Республика Ингушетия ;1801,00;23,10;1,50;-1811,70;86,10;-623903,30;2016,00;5,38;
210;Кабардино-Балкарская Республика ;1809,50;23,20;1,50;-1820,60;86,40;-626969,50;2016,00;5,38;
211;Карачаево-Черкесская Республика ;1818,00;23,30;1,50;-1829,50;86,70;-630035,70;2016,00;5,38;
212;Республика Северная Осетия-Алания ;1826,50;23,40;1,50;-1838,40;87,00;-633101,90;2016,00;5,38;
213;Чеченская Республика ;1835,00;23,50;1,50;-1847,30;87,30;-636168,10;2016,00;5,38;
214;Ставропольский край ;1843,50;23,60;1,50;-1856,20;87,60;-639234,30;2016,00;5,38;
215;Республика Башкортостан ;1852,00;23,70;1,50;-1865,10;87,90;-642300,50;2016,00;5,38;
216;Республика Марий Эл ;1860,50;23,80;1,50;-1874,00;88,20;-645366,70;2016,00;5,38;
217;Республика Мордовия ;1869,00;23,90;1,50;-1882,90;88,50;-648432,90;2016,00;5,38;
218;Республика Татарстан ;1877,50;24,00;1,50;-1891,80;88,80;-651499,10;2016,00;5,38;
219;Удмуртская Республика ;1886,00;24,10;1,50;-1900,70;89,10;-654565,30;2016,00;5,38;
220;Чувашская Республика ;1894,50;24,20;1,50;-1909,60;89,40;-657631,50;2016,00;5,38;
221;Пермский край ;1903,00;24,30;1,50;-1918,50;89,70;-660697,70;2016,00;5,38;
222;Кировская область ;1911,50;24,40;1,50;-1927,40;90,00;-663763,90;2016,00;5,38;
223;Нижегородская область ;1920,00;24,50;1,50;-1936,30;90,30;-666830,10;2016,00;5,38;
224;Оренбургская область ;1928,50;24,60;1,50;-1945,20;90,60;-669896,30;2016,00;5,38;
225;Пензенская область ;1937,00;24,70;1,50;-1954,10;90,90;-672962,50;2016,00;5,38;
226;Самарская область ;1945,50;24,80;1,50;-1963,00;91,20;-676028,70;2016,00;5,38;
227;Саратовская область ;1954,00;24,90;1,50;-1971,90;91,50;-679094,90;2016,00;5,38;
228;Ульяновская область ;1962,50;25,00;1,50;-1980,80;91,80;-682161,10;2016,00;5,38;
229;Курганская область ;1971,00;25,10;1,50;-1989,70;92,10;-685227,30;2016,00;5,38;
230;Свердловская область ;1979,50;25,20;1,50;-1998,60;92,40;-688293,50;2016,00;5,38;
231;Тюменская область ;1988,00;25,30;1,50;-2007,50;92,70;-691359,70;2016,00;5,38;
232;Ханты-Мансийский авт. округ ;1996,50;25,40;1,50;-2016,40;93,00;-694425,90;2016,00;5,38;
233;Ямало-Ненецкий авт. округ ;2005,00;25,50;1,50;-2025,30;93,30;-697492,10;2016,00;5,38;
234;Челябинская область ;2013,50;25,60;1,50;-2034,20;93,60;-700558,30;2016,00;5,38;
235;Республика Алтай ;2022,00;25,70;1,50;-2043,10;93,90;-703624,50;2016,00;5,38;
236;Республика Бурятия ;2030,50;25,80;1,50;-2052,00;94,20;-706690,70;2016,00;5,38;
237;Республика Тыва ;2039,00;25,90;1,50;-2060,90;94,50;-709756,90;2016,00;5,38;
238;Республика Хакасия ;2047,50;26,00;1,50;-2069,80;94,80;-712823,10;2016,00;5,38;
239;Алтайский край ;2056,00;26,10;1,50;-2078,70;95,10;-715889,30;2016,00;5,38;
240;Забайкальский край ;2064,50;26,20;1,50;-2087,60;95,40;-718955,50;2016,00;5,38;
241;Красноярский край ;2073,00;26,30;1,50;-2096,50;95,70;-722021,70;2016,00;5,38;
242;Иркутская область ;2081,50;26,40;1,50;-2105,40;96,00;-725087,90;2016,00;5,38;
243;Кемеровская область ;2090,00;26,50;1,50;-2114,30;96,30;-728154,10;2016,00;5,38;
244;Новосибирская область ;2098,50;26,60;1,50;-2123,20;96,60;-731220,30;2016,00;5,38;
245;Омская область ;2107,00;26,70;1,50;-2132,10;96,90;-734286,50;2016,00;5,38;
246;Томская область ;2115,50;26,80;1,50;-2141,00;97,20;-737352,70;2016,00;5,38;
247;Республика Саха(Якутия) ;2124,00;26,90;1,50;-2149,90;97,50;-740418,90;2016,00;5,38;
248;Камчатский край ;2132,50;27,00;1,50;-2158,80;97,80;-743485,10;2016,00;5,38;
249;Приморский край ;2141,00;27,10;1,50;-2167,70;98,10;-746551,30;2016,00;5,38;
250;Хабаровский край ;2149,50;27,20;1,50;-2176,60;98,40;-749617,50;2016,00;5,38;
251;Амурская область ;2158,00;27,30;1,50;-2185,50;98,70;-752683,70;2016,00;5,38;
252;Магаданская область ;2166,50;27,40;1,50;-2194,40;99,00;-755749,90;2016,00;5,38;
253;Сахалинская область ;2175,00;27,50;1,50;-2203,30;99,30;-758816,10;2016,00;5,38;
254;Еврейская авт. область ;2183,50;27,60;1,50;-2212,20;99,60;-761882,30;2016,00;5,38;
255;Чукотский авт. округ ;2192,00;27,70;1,50;-2221,10;99,90;-764948,50;2016,00;5,38;
256;Белгородская область;2200,50;27,80;1,50;-2230,00;100,20;-768014,70;2016,00;5,38;
257;Брянская область;2209,00;27,90;1,50;-2238,90;100,50;-771080,90;2016,00;5,38;
258;Владимирская область;2217,50;28,00;1,50;-2247,80;100,80;-774147,10;2016,00;5,38;
259;Воронежская область;2226,00;28,10;1,50;-2256,70;101,10;-777213,30;2016,00;5,38;
260;Ивановская область;2234,50;28,20;1,50;-2265,60;101,40;-780279,50;2016,00;5,38;
261;Калужская область;2243,00;28,30;1,50;-2274,50;101,70;-783345,70;2016,00;5,38;
262;Костромская область;2251,50;28,40;1,50;-2283,40;102,00;-786411,90;2016,00;5,38;
263;Курская область;2260,00;28,50;1,50;-2292,30;102,30;-789478,10;2016,00;5,38;
264;Липецкая область;2268,50;28,60;1,50;-2301,20;102,60;-792544,30;2016,00;5,38;
265;Московская область;2277,00;28,70;1,50;-2310,10;102,90;-795610,50;2016,00;5,38;
266;Орловская область;2285,50;28,80;1,50;-2319,00;103,20;-798676,70;2016,00;5,38;
267;Рязанская область;2294,00;28,90;1,50;-2327,90;103,50;-801742,90;2016,00;5,38;
268;Смоленская область;2302,50;29,00;1,50;-2336,80;103,80;-804809,10;2016,00;5,38;
269;Тамбовская область;2311,00;29,10;1,50;-2345,70;104,10;-807875,30;2016,00;5,38;
270;Тверская область;2319,50;29,20;1,50;-2354,60;104,40;-810941,50;2016,00;5,38;
271;Тульская область;2328,00;29,30;1,50;-2363,50;104,70;-814007,70;2016,00;5,38;
272;Ярославская область;2336,50;29,40;1,50;-2372,40;105,00;-817073,90;2016,00;5,38;
273;г. Москва;2345,00;29,50;1,50;-2381,30;105,30;-820140,10;2016,00;5,38;
274;Республика Карелия;2353,50;29,60;1,50;-2390,20;105,60;-823206,30;2016,00;5,38;
275;Республика Коми;2362,00;29,70;1,50;-2399,10;105,90;-826272,50;2016,00;5,38;
276;Архангельская область;2370,50;29,80;1,50;-2408,00;106,20;-829338,70;2016,00;5,38;
277;Ненецкий автономный округ;2379,00;29,90;1,50;-2416,90;106,50;-832404,90;2016,00;5,38;
278;Вологодская область;2387,50;30,00;1,50;-2425,80;106,80;-835471,10;2016,00;5,38;
279;Калининградская область;2396,00;30,10;1,50;-2434,70;107,10;-838537,30;2016,00;5,38;
280;Ленинградская область;2404,50;30,20;1,50;-2443,60;107,40;-841603,50;2016,00;5,38;
281;Мурманская область;2413,00;30,30;1,50;-2452,50;107,70;-844669,70;2016,00;5,38;
282;Новгородская область;2421,50;30,40;1,50;-2461,40;108,00;-847735,90;2016,00;5,38;
283;Псковская область;2430,00;30,50;1,50;-2470,30;108,30;-850802,10;2016,00;5,38;
284;г. Санкт-Петербург;2438,50;30,60;1,50;-2479,20;108,60;-853868,30;2016,00;5,38;
